iter	Passed	Remaining
0	3	2913
1	7	2959
2	11	2893
3	15	2877
4	18	2788
5	22	2811
6	25	2761
7	28	2690
8	32	2728
9	35	2715
10	40	2746
11	43	2742
12	47	2760
13	50	2728
14	54	2721
15	57	2700
16	61	2723
17	65	2707
18	68	2685
19	71	2678
20	74	2654
21	78	2653
22	81	2640
23	85	2629
24	88	2620
25	91	2604
26	95	2605
27	98	2596
28	102	2593
29	105	2589
30	108	2575
31	111	2562
32	114	2548
33	118	2546
34	121	2534
35	124	2522
36	127	2518
37	130	2506
38	134	2498
39	137	2491
40	140	2489
41	144	2485
42	147	2478
43	150	2476
44	154	2470
45	158	2477
46	161	2475
47	165	2474
48	168	2468
49	172	2473
50	175	2467
51	179	2463
52	182	2457
53	185	2448
54	189	2448
55	192	2446
56	196	2450
57	200	2447
58	203	2442
59	207	2438
60	210	2437
61	214	2434
62	217	2428
63	221	2426
64	224	2420
65	227	2414
66	231	2411
67	233	2401
68	237	2395
69	240	2387
70	243	2382
71	246	2375
72	249	2368
73	252	2364
74	255	2357
75	259	2352
76	262	2345
77	265	2341
78	269	2341
79	272	2340
80	276	2340
81	279	2335
82	283	2329
83	285	2318
84	288	2312
85	292	2309
86	295	2305
87	298	2302
88	302	2297
89	305	2294
90	309	2292
91	312	2289
92	316	2292
93	320	2293
94	324	2289
95	327	2285
96	331	2283
97	334	2277
98	337	2276
99	341	2274
100	344	2269
101	348	2267
102	352	2267
103	355	2264
104	358	2258
105	362	2256
106	365	2253
107	369	2252
108	373	2249
109	376	2244
110	380	2244
111	384	2243
112	387	2240
113	391	2237
114	395	2237
115	398	2232
116	401	2229
117	405	2227
118	409	2224
119	412	2221
120	416	2219
121	420	2218
122	424	2217
123	428	2217
124	431	2215
125	435	2211
126	438	2208
127	442	2207
128	446	2205
129	450	2202
130	453	2199
131	457	2199
132	461	2196
133	465	2193
134	468	2191
135	472	2188
136	476	2185
137	479	2180
138	482	2177
139	486	2173
140	489	2170
141	493	2167
142	496	2164
143	500	2160
144	503	2157
145	507	2153
146	510	2150
147	514	2147
148	517	2142
149	520	2139
150	524	2135
151	527	2131
152	531	2127
153	535	2126
154	538	2122
155	541	2118
156	545	2114
157	548	2111
158	551	2106
159	555	2103
160	559	2100
161	562	2096
162	565	2092
163	569	2089
164	572	2085
165	576	2082
166	579	2077
167	582	2072
168	585	2068
169	588	2064
170	592	2061
171	595	2056
172	598	2052
173	602	2049
174	606	2046
175	609	2044
176	612	2038
177	616	2035
178	619	2032
179	622	2027
180	625	2022
181	629	2018
182	632	2014
183	635	2011
184	639	2008
185	642	2004
186	646	2000
187	649	1996
188	652	1992
189	655	1987
190	659	1984
191	662	1980
192	665	1976
193	668	1971
194	672	1968
195	675	1964
196	678	1960
197	681	1956
198	685	1952
199	688	1949
200	691	1944
201	695	1940
202	698	1936
203	701	1933
204	705	1929
205	708	1925
206	711	1921
207	714	1917
208	718	1914
209	722	1911
210	724	1906
211	728	1903
212	731	1899
213	735	1897
214	738	1893
215	742	1890
216	745	1887
217	749	1883
218	752	1880
219	756	1876
220	760	1874
221	763	1870
222	767	1869
223	771	1866
224	775	1865
225	779	1862
226	783	1859
227	786	1855
228	790	1852
229	793	1848
230	796	1845
231	799	1840
232	802	1835
233	805	1832
234	808	1826
235	811	1822
236	814	1818
237	817	1814
238	820	1809
239	823	1804
240	826	1800
241	829	1796
242	832	1791
243	835	1786
244	838	1782
245	840	1776
246	843	1771
247	846	1767
248	848	1762
249	851	1757
250	854	1753
251	857	1748
252	859	1742
253	861	1737
254	864	1732
255	866	1726
256	869	1722
257	872	1717
258	875	1712
259	877	1708
260	880	1702
261	882	1698
262	885	1693
263	888	1688
264	890	1684
265	893	1679
266	895	1674
267	898	1669
268	901	1665
269	904	1661
270	907	1657
271	910	1653
272	912	1648
273	915	1644
274	918	1639
275	920	1634
276	923	1630
277	926	1626
278	928	1621
279	931	1617
280	934	1612
281	937	1608
282	940	1604
283	943	1601
284	946	1597
285	949	1594
